,pnl,pnl %,order count,order diff,close diff,correlation,pair
0,2.2926546848789258,0.19525747420551756,1,0.01,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
1,3176.740984320673,270.5520481975074,305,0.01,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
2,39.87779845888258,3.396254244179512,1,0.014444444444444444,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
3,3088.7105878842012,263.0548036386725,182,0.014444444444444444,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
4,2775.885244426084,236.41255051875652,252,0.014444444444444444,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
5,14.792964219692067,1.2598656259052834,1,0.01888888888888889,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
6,2828.710584398076,240.91150211622474,122,0.01888888888888889,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
7,2576.846518844487,219.46111030297888,145,0.01888888888888889,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
8,2697.5356949425404,229.73979022991054,246,0.01888888888888889,0.015,0.9998143931140121,"['GOOG', 'GOOGL']"
9,20.722162410593455,1.7648349396248801,1,0.02333333333333333,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
10,2848.423430120072,242.59037704251276,100,0.02333333333333333,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
11,2615.382836910524,222.74311529936242,113,0.02333333333333333,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
12,2590.3147497685386,220.60815297346537,147,0.02333333333333333,0.015,0.9998143931140121,"['GOOG', 'GOOGL']"
13,2424.8066053174853,206.51239644323098,228,0.02333333333333333,0.02,0.9998143931140121,"['GOOG', 'GOOGL']"
14,27.56303950431993,2.3474487939838293,1,0.027777777777777776,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
15,2705.091531330976,230.3832946959108,80,0.027777777777777776,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
16,2550.8994908927025,217.25129162665561,89,0.027777777777777776,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
17,2504.7329935185935,213.31945063479677,107,0.027777777777777776,0.015,0.9998143931140121,"['GOOG', 'GOOGL']"
18,2347.044191419608,199.88964046259127,134,0.027777777777777776,0.02,0.9998143931140121,"['GOOG', 'GOOGL']"
19,94.40210863682955,8.039901261046488,1,0.03222222222222222,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
20,2311.0947066836825,196.8279471187036,57,0.03222222222222222,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
21,2218.710337996292,188.95988979417731,61,0.03222222222222222,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
22,2104.050253035801,179.19468671791995,67,0.03222222222222222,0.015,0.9998143931140121,"['GOOG', 'GOOGL']"
23,1977.134511368424,168.38571172559543,73,0.03222222222222222,0.02,0.9998143931140121,"['GOOG', 'GOOGL']"
24,94.40210863682955,8.039901261046488,1,0.03666666666666667,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
25,1925.8067278304586,164.01430183282307,41,0.03666666666666667,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
26,1904.3839743558658,162.18979997409792,44,0.03666666666666667,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
27,1876.7523638072387,159.83651122130854,48,0.03666666666666667,0.015,0.9998143931140121,"['GOOG', 'GOOGL']"
28,1809.5257358188458,154.11105170621337,51,0.03666666666666667,0.02,0.9998143931140121,"['GOOG', 'GOOGL']"
29,94.40210863682955,8.039901261046488,1,0.04111111111111111,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
30,1671.9655493923613,142.39552614973653,32,0.04111111111111111,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
31,1689.0365952146924,143.84940811080952,34,0.04111111111111111,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
32,1687.3368171738928,143.70464389090955,37,0.04111111111111111,0.015,0.9998143931140121,"['GOOG', 'GOOGL']"
33,1691.425404441197,144.05285473493592,40,0.04111111111111111,0.02,0.9998143931140121,"['GOOG', 'GOOGL']"
34,94.40210863682955,8.039901261046488,1,0.04555555555555556,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
35,1556.630004788619,132.57279651060912,27,0.04555555555555556,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
36,1599.522072897231,136.22576568105393,29,0.04555555555555556,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
37,1617.7972411470448,137.78219858683536,31,0.04555555555555556,0.015,0.9998143931140121,"['GOOG', 'GOOGL']"
38,1657.3615392302866,141.15175308773743,34,0.04555555555555556,0.02,0.9998143931140121,"['GOOG', 'GOOGL']"
39,94.40210863682955,8.039901261046488,1,0.05,0.0,0.9998143931140121,"['GOOG', 'GOOGL']"
40,1315.3064559447243,112.02010406880811,21,0.05,0.005,0.9998143931140121,"['GOOG', 'GOOGL']"
41,1361.0706574140586,115.91768290912377,23,0.05,0.01,0.9998143931140121,"['GOOG', 'GOOGL']"
42,1411.6914375075157,120.22887976251442,25,0.05,0.015,0.9998143931140121,"['GOOG', 'GOOGL']"
43,1422.18715240156,121.12276351819243,27,0.05,0.02,0.9998143931140121,"['GOOG', 'GOOGL']"
44,0.0,,0,0.01,0.0,0.9900234764057819,"['AVB', 'AIV']"
45,0.0,,0,0.01,0.005,0.9900234764057819,"['AVB', 'AIV']"
46,0.0,,0,0.014444444444444444,0.0,0.9900234764057819,"['AVB', 'AIV']"
47,0.0,,0,0.014444444444444444,0.005,0.9900234764057819,"['AVB', 'AIV']"
