,Unnamed: 0,close diff,correlation,index,order count,order diff,pair,pnl,pnl %
0,1.0,0.005,0.999814393114012,1.0,305.0,0.01,"['GOOG', 'GOOGL']",3176.7409843206733,270.5520481975074
28,89.0,0.005,0.9933936551570364,89.0,203.0,0.01,"['C', 'KEY']",130.29815541410386,186.6201022831622
61,133.0,0.005,0.9934320300645544,133.0,196.0,0.01,"['CFG', 'FITB']",66.152134466422,183.65389912943363
101,230.0,0.005,0.9966067715240952,230.0,102.0,0.02333333333333333,"['DISCA', 'DISCK']",83.05717214530705,267.667328860158
160,351.0,0.02,0.9934320300645544,351.0,53.0,0.05,"['FITB', 'CFG']",85.05095526069266,236.12147490475468
193,439.0,0.02,0.9933936551570364,439.0,42.0,0.05,"['KEY', 'C']",120.59069641144659,172.71655172077718
